"idDienThoai";"ten";"url_img";"gia";"gia_cu";"gia_online";"ram";"rom";"mau_sac";"khuyen_mai";"url_installment";"cong_nghe_man_hinh";"do_phan_giai";"mau_man_hinh";"chuan_man_hinh";"cong_nghe_cam_ung";"man_hinh";"mat_kinh_man_hinh";"toc_do_cpu";"so_nhan";"chipset";"gpu";"cam_bien";"the_nho_ngoai";"dung_luong_the_nho_toi_da";"dung_luong_danh_ba";"bo_nho_con_lai";"kich_thuoc";"trong_luong";"kieu_dang";"chat_lieu";"chong_nuoc";"loai_pin";"cong_nghe_pin";"dung_luong_pin";"thao_roi_pin";"thoi_gian_cho";"thoi_gian_dam_thoai";"thoi_gian_sac";"sac_nhanh";"ket_noi_usb";"cong_ket_noi_khac";"cong_sac";"jack_in_out";"wifi";"gps";"bluetooth";"gprs";"edge";"loai_sim";"mang_2g";"mang_3g";"mang_4g";"khe_cam_sim";"nfc";"model_series";"he_dieu_hanh";"xem_phim";"nghe_nhac";"ghi_am";"fm_radio";"den_pin";"chuc_nang_khac";"thoi_gian_bao_hanh";"xuat_xu";"nam_san_xuat";"do_phan_giai_cam_truoc";"do_phan_giai_cam_sau";"thong_tin_khac";"quay_phim";"den_flash";"chup_anh_nang_cao";"video_call";"box";"choi_game";"ghi_chu"
"1";"Masstel Hapi 10 Fami";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/3/18/637201274954633026_masstel-hapi-10-fami-vang-1.png";"1190000";"660000";NULL;"2 GB";"16 GB";"Vàng/Đen/";"Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtBảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 129,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/masstel-hapi-10-fami/552937/tra-gop";"IPS";"720 x 1280 Pixels";"16.7 triệu màu";"HD";NULL;"5.0 inches";"Kính thường";"1.5 Ghz";"4";"MTK 6739";"PowerVR GE8100";"Cảm biến tiệm cận, Cảm biến ánh sáng, Cảm biến xoay";"Micro SD";"64 GB";"Không giới hạn";"16GB";"143*71.5*8.9mm";"150g";"Dạng thanh";"Nhựa";"Không";"Lithium-ion";NULL;"2000 mAh";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"Micro USB";"3.5mm";"802.11 b/g/n";"Có";"Có";"Có";NULL;"Nano SIM";NULL;NULL;NULL;"2";"Không";"Không";NULL;"Có";"Có";"Có";"Có";"Có";"Không";"12 Tháng";"Trung Quốc";"2019";"5.0 MP";"5.0 MP";"Làm đẹp, đơn sắc";"Có";"Có";"Làm đẹp, đơn sắc, Xóa phông, Chế độ chụp ảnh chuyên nghiệp";NULL;"Máy, Sạc, Cáp, Tai nghe, Ốp lưng, Cây lấy sim, Thẻ bảo hành
";NULL;"không"
"2";"Masstel Izi 112";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/10/18/637069858920291658_masstel-izi-112-den-do-1.png";"199000";"110000";NULL;"32 MB";"32 MB";"Đen-Đỏ/Đen/";"Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 99,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/masstel-izi-112/520452/tra-gop";"TFT";"128 x 160 Pixels";"262.000 màu";"QQVGA";NULL;"1.77 inches";"Kính thường";"Không";"Không";"SC6531E";"Không";"Không";"MicroSD";"16 GB";"300 số";"Không";"115.6*48.5*14.3mm";"71g";"Thanh + Thẳng";"Nhựa";"Không";"Lithium-ion";NULL;"800 mAh";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"Micro USB";"3.5mm";"Không";"Không";"Có";"Không";NULL;"SIM Thường";NULL;NULL;NULL;"2";"Không";"Không";NULL;"Có";"Có";"Có";"Có";"Có";"Máy tính, lịch, đồng hồ, báo thức, trò chơi";"12 Tháng";NULL;NULL;"Không";"Không";"Không";"Không";"Không";"Không";NULL;"không";NULL;"không"
"3";"Masstel izi 120";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/6/21/636967318364075201_masstel-izi-120-den-1.png";"199000";"110000";NULL;"32 MB";"32 MB";"Đen/Xanh Đậm/Xanh/";"Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 99,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/masstel-izi-120/494322/tra-gop";"TFT";"128 x 160 Pixels";"16 Triệu";"TFT";NULL;"1.77 inches";"Kính thường";"Không";"Không";"SC 6531E";"Không";"Không";"Micro SD";"16 GB";"300 số";"Không";"113 x 47.6 x 14.5 mm";"71.5 g";"Thanh (thẳng)";"Nhựa";"Không";"Li-Ion";NULL;"800 mAh";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"Micro USB";"3.5 mm";"Không";"Không";"2.1";"Không";NULL;"2 SIM thường";NULL;NULL;NULL;"2";"Không";"Không";NULL;"Có";"Có";"Không";"Không";"Có";"Nghe đài FM không cần tai nghe";"12 Tháng";"Trung Quốc";"2018";"Không";"0.3 MP";"Không";"Có hỗ trợ";"Không";"Không";NULL;"Hộp, Máy, Bộ sạc, Pin
";NULL;"không"
"4";"Samsung Galaxy Z Flip 5G";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/5/14/637250607435820107_637170989844044079_ss-Z-flip-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"5";"Masstel iZi 206";"https://cdn.fptshop.com.vn/Uploads/Originals/2018/10/5/636743605055707475_masstel-iZi-206-den-1.jpg";"299000";"165000";NULL;"Không";"Không";"Đen/Xanh Đen/";"Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 99,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/masstel-izi-206/424499/tra-gop";"TFT LCD";"240 x 320 Pixels";"256,000";"QVGA";NULL;"2.4 inchs";"Không";"Không";"Không";"MT6261M";"Không";"Không";"MicroSD";"32 GB";"100 số";"Không";"126*52.6*13.5";"90gr";"Thanh + Thẳng";"Nhựa";"Không";"Li-Ion";NULL;"1450mAh";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"MicroUSB";"3.5mm";"Không";"Không";"Có";"Không";NULL;"SIM Thường";NULL;NULL;NULL;"2";"Không";NULL;NULL;"Có";"Có";"Có";"Có";"Có";"Không";"12 Tháng";NULL;NULL;"Không";"0.3 MP";"Không";"Có";"Không";"Không";NULL;;NULL;"không"
"6";"iPhone 11 Pro Max 64GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2019/9/11/637037687763926758_11-pro-max-xanh.png";"29990000";"24475000";NULL;"4 GB";"64 GB";"Xanh rêu/Vàng/Xám/Bạc/";"Khách hàng chọn 1 trong 2 khuyến mại sau:
KM1:
Tặng 2,000 kWh điện trị giá 4,000,000đ (đã trừ vào giá) (*)
KM2:
Trả góp 0%
Khách hàng được khuyến mại thêm:
Thu cũ đổi mới tiết kiệm đến 14 triệu 
Xem chi tiếtTặng PMH 500,000đ mua Airpods
Tặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtGiảm thêm 200,000đ khi thanh toán 100% giá trị đơn hàng qua VNPay-QR 
Xem chi tiết(*): Không áp dụng trả góp 0%
Tặng PMH 300,000đ (S) 
 Xem chi tiết";"https:/dien-thoai/iphone-11-pro-max-256gb";"Super AMOLED";"1242 x 2688 Pixels";"16 Triệu";"Super Retina XDR";NULL;"6.5 inchs";"Kính Cường Lực";"Đang cập nhật";"6";"Apple A13 Bionic";"Apple GPU 4 nhân";"Haptic Touch";"Không";"Không";"Không giới hạn";"Đang cập nhật";"158.0 x 77.8 x 8.1 mm";"226 g";"Nguyên Khối + Thẳng";"Viền thép, mặt lưng kính mờ";"Có";"Lithium-ion";NULL;"Lâu hơn iPhone Xs Max 5h";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Lightning";"Lightning";"802.11ax";"GPS/GNSS";"v5.0";"Có";NULL;"eSIM và NanoSIM";NULL;NULL;NULL;"1";"Có";"iPhone 11 Pro Max";NULL;"Có";"Có";"Có";"Có";"Có";"Hỗ trợ sạc nhanh, chống nước chuẩn IP68";"12 Tháng";"Trung Quốc";"2019";"12.0 MP";"Triple 12MP Ultra Wide, Wide and Telephoto cameras";"Selfie ngược sáng HDR, Camera góc rộng, Nhận diện khuôn mặt";"4K 60fps";"Có";"Zoom quang học, Chụp ảnh xóa phông, A.I Camera, HDR, Panorama, Chống rung quang học, Công nghệ máy học";NULL;"Máy, Sạc, Cáp, Tai nghe, Sách hướng dẫn 
";NULL;"không"
"7";"iPhone SE (2020) 64GB";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/4/20/637229926607221453_ip-se-black-1.png";"12490000";"11693000";NULL;"3 GB";"64 GB";"Đen/Đỏ/Trắng/";"Khách hàng chọn 1 trong 2 khuyến mại sau:
KM1:
Tặng 250 kWh điện trị giá 500,000đ (đã trừ vào giá) (*)
KM2:
Trả góp 0%
Khách hàng được khuyến mại thêm:
Thu cũ đổi mới tiết kiệm đến 14 triệu 
Xem chi tiếtTặng PMH 500,000đ mua Airpods
Giảm đến 40% bộ sạc nhanh thương hiệu Umetravel khi mua kèm máy 
Xem chi tiếtTặng suất mua Đồng hồ thời trang giảm đến 40% 
Xem chi tiếtGiảm thêm 200,000đ khi thanh toán 100% giá trị đơn hàng qua VNPay-QR 
Xem chi tiết(*): Không áp dụng trả góp 0%
Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 619,000đ.
 Xem chi tiếtTặng PMH 300,000đ (S) 
 Xem ";"https://fptshop.com.vn/dien-thoai/iphone-se-2/559471/tra-gop";"IPS LCD";"750 x 1334 Pixels";"16 Triệu";"Retina HD display";NULL;"4.7 inchs";"Đang cập nhật";"Đang cập nhật";"6";"Apple A13 Bionic";"Apple GPU 4 nhân";"Haptic Touch, Touch ID";"Không";"Không";"Không giới hạn";"Đang cập nhật";"Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm";"148g";"Nguyên Khối";"Khung kim loại + mặt lưng kính";"Có";"Lithium-ion";NULL;"1821 mAh";"Không";NULL;NULL;NULL;"Có";NULL;NULL;"Lightning";"Lightning";"802.11ax";"GPS/GNSS";"v5.0";"Có";NULL;"eSIM và NanoSIM";NULL;NULL;NULL;"1 eSIM & 1 Nano SIM";"Có";"Không";NULL;"Có";"Có";"Có";"Không";"Có";"Hỗ trợ sạc nhanh, chống nước";"12 Tháng";"Trung Quốc";"2020";"7.0 MP";"12.0 MP";"Chụp ảnh xoá phông, HDR, Live Photo, Retina Flash,….";"4K @ 24 fps, 30 fps, 60 fps. 1080p HD @ 30 fps, 60 fps. 720p HD @ 30 fps. Slow motion 1080p @ 120 fps, 240 fps";"Có";"Zoom kỹ thuật số 5x, Chụp ảnh xoá phông, Panorama, Chống rung quang học, HDR, Live Photo,….";NULL;"Máy, Sạc, Cáp sạc, Tai Nghe 
";NULL;"không"
"8";"Energizer P20";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/1/4/637137266123171572_P20-1.png";"590000";"396000";NULL;"32 MB";"32 MB";"Đen/";"Đổi trả 100 ngày nếu lỗi NSX
Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 99,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/energizer-p20/538322/tra-gop";"TFT";"240 x 320 Pixels";"262.000 màu";"QQVGA";NULL;"2.8 inches";"Kính thường";"không";"Không";"Spreadtrum SC6531E";"SC6531E";"không";"Micro SD";"32 GB";"300 số";"không";"136.5*55*17.5";"130 g";"Dạng thanh";"Nhựa";"Không";"Li-Ion";NULL;"4000mAh - Sạc được cho máy khác";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"MicroUSB";"3.5mm";"Không";"Không";"Bluetooth v4.0";"Không";NULL;"2 SIM thường";NULL;NULL;NULL;"2";"Không";"Không";NULL;"Không";"Có";"Có";"Có";"Có";"không";"12 Tháng";"Trung Quốc";"2019";"Không";"0.3 MP";"không";"Không";"Không";"không";NULL;"Pin, bộ sạc, tai nghe, sách hướng dẫn sử dụng
";NULL;"không"
"9";"Vivo X50";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/5/25/637260181617687772_vivo-x50-1.png";"None";"None";"None";NULL;NULL;;;"không";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"không";NULL;"Sản phẩm tin đồn"
"10";"Energizer E100";"https://cdn.fptshop.com.vn/Uploads/Originals/2020/1/4/637137270490073693_E100-1.png";"490000";"341000";NULL;"32 MB";"32 MB";"Đen/";"Đổi trả 100 ngày nếu lỗi NSX
Bảo hành mở rộng:
Mua gói bảo hành chính hãng mở rộng 24 tháng giá 99,000đ.
 Xem chi tiết";"https://fptshop.com.vn/dien-thoai/energizer-e100/538323/tra-gop";"TFT";"240 x 320 Pixels";"65.000 màu";"QQVGA";NULL;"2.4 inches";"Kính thường";"không";"Không";"ARM7+260MHz";"không";"không";"Micro SD";"8 GB";"300 số";"không";"129*63*15";"112 g";"Dạng thanh";"Nhựa";"Có";"Li-Ion";NULL;"1500mAh";"Có";NULL;NULL;NULL;"Không";NULL;NULL;"Micro USB";"3.5mm";"Không";"Không";"Có";"Không";NULL;"2 SIM thường";NULL;NULL;NULL;"2";"Không";"Không";NULL;"Không";"Có";"Có";"Có";"Không";"Chống nước chuẩn IP54 - Chống sốc theo chuẩn quân đội Mỹ";"12 Tháng";"Trung Quốc";"2019";"Không";"QVGA";"không";"Không";"Không";"không";NULL;"Hộp, bộ sạc, tai nghe, pin, sách hướng dẫn sử dụng
";NULL;"không"
